air_pollutant,unit_air_poll_lvl,air_pollutant_level,air_qual_stat_type,year,country,region,AQI_Index,geo_code,exceedance_amount
PM2.5,ug/m3,26.582,Traffic,2023,Serbia,Southern Europe,106.328,RS,21.582
PM2.5,ug/m3,17.879,Traffic,2023,Serbia,Southern Europe,71.516,RS,12.879000000000001
PM2.5,ug/m3,14.354,Traffic,2023,Slovakia,Eastern Europe,57.416,SK,9.354
PM2.5,ug/m3,18.679,Background,2023,Serbia,Southern Europe,74.716,RS,13.678999999999998
NO2,ug/m3,39.645,Traffic,2023,France,Western Europe,99.1125,FR,29.645000000000003
NO2,ug/m3,53.196,Traffic,2023,France,Western Europe,132.98999999999998,FR,43.196
NO2,ug/m3,10.57,Background,2023,France,Western Europe,26.425,FR,0.5700000000000003
NO2,ug/m3,15.472,Industrial,2023,Romania,Eastern Europe,38.68,RO,5.4719999999999995
PM2.5,ug/m3,10.336,Background,2023,Slovakia,Eastern Europe,41.344,SK,5.336
PM2.5,ug/m3,12.701,Traffic,2023,Slovakia,Eastern Europe,50.804,SK,7.7010000000000005
NO2,ug/m3,56.401,Traffic,2023,France,Western Europe,141.0025,FR,46.401
NO2,ug/m3,8.503,Background,2023,France,Western Europe,21.2575,FR,0.0
NO2,ug/m3,13.76,Industrial,2023,Spain,Southern Europe,34.4,ES,3.76
NO2,ug/m3,12.257,Background,2023,France,Western Europe,30.6425,FR,2.2569999999999997
NO2,ug/m3,9.459,Background,2023,Romania,Eastern Europe,23.6475,RO,0.0
NO2,ug/m3,5.37,Background,2023,France,Western Europe,13.425,FR,0.0
NO2,ug/m3,16.69,Background,2023,France,Western Europe,41.725,FR,6.690000000000001
PM2.5,ug/m3,14.543,Background,2023,Slovakia,Eastern Europe,58.172,SK,9.543
NO2,ug/m3,13.995,Background,2023,France,Western Europe,34.9875,FR,3.994999999999999
NO2,ug/m3,22.144,Industrial,2023,Romania,Eastern Europe,55.36,RO,12.143999999999998
PM2.5,ug/m3,15.34,Background,2023,Slovenia,Southern Europe,61.36000000000001,SI,10.34
PM2.5,ug/m3,7.953,Traffic,2023,Spain,Southern Europe,31.812,ES,2.9530000000000003
PM2.5,ug/m3,13.275,Background,2023,Slovenia,Southern Europe,53.1,SI,8.275
PM10,ug/m3,20.886,Industrial,2023,Spain,Southern Europe,52.215,ES,5.885999999999999
PM2.5,ug/m3,9.739,Traffic,2023,Spain,Southern Europe,38.956,ES,4.739000000000001
NO2,ug/m3,14.584,Traffic,2023,Romania,Eastern Europe,36.46,RO,4.584
PM10,ug/m3,19.943,Traffic,2023,Spain,Southern Europe,49.8575,ES,4.943000000000001
NO2,ug/m3,13.121,Background,2023,Portugal,Southern Europe,32.8025,PT,3.1210000000000004
PM2.5,ug/m3,14.055,Background,2023,Slovakia,Eastern Europe,56.220000000000006,SK,9.055
PM2.5,ug/m3,30.428,Background,2023,Serbia,Southern Europe,121.712,RS,25.428
PM2.5,ug/m3,15.328,Traffic,2023,Serbia,Southern Europe,61.312,RS,10.328
PM10,ug/m3,20.423,Industrial,2023,Spain,Southern Europe,51.0575,ES,5.422999999999998
PM2.5,ug/m3,18.074,Background,2023,Serbia,Southern Europe,72.296,RS,13.074000000000002
NO2,ug/m3,10.322,Industrial,2023,Poland,Eastern Europe,25.805,PL,0.3219999999999992
PM2.5,ug/m3,11.215,Background,2023,Slovakia,Eastern Europe,44.86,SK,6.215
NO2,ug/m3,4.983,Background,2023,France,Western Europe,12.4575,FR,0.0
NO2,ug/m3,17.424,Background,2023,France,Western Europe,43.56,FR,7.4239999999999995
NO2,ug/m3,40.267,Traffic,2023,France,Western Europe,100.6675,FR,30.267000000000003
NO2,ug/m3,57.662,Traffic,2023,France,Western Europe,144.155,FR,47.662
NO2,ug/m3,11.548,Background,2023,Portugal,Southern Europe,28.87,PT,1.548
NO2,ug/m3,13.445,Background,2023,Portugal,Southern Europe,33.6125,PT,3.4450000000000003
NO2,ug/m3,3.768,Background,2023,France,Western Europe,9.42,FR,0.0
PM10,ug/m3,26.008,Traffic,2023,Hungary,Eastern Europe,65.02,HU,11.008
NO2,ug/m3,19.848,Background,2023,France,Western Europe,49.62,FR,9.847999999999999
PM2.5,ug/m3,15.425,Traffic,2023,Serbia,Southern Europe,61.7,RS,10.425
NO2,ug/m3,24.132,Background,2023,Spain,Southern Europe,60.330000000000005,ES,14.132000000000001
PM10,ug/m3,15.435,Background,2023,Spain,Southern Europe,38.587500000000006,ES,0.4350000000000005
PM2.5,ug/m3,13.819,Traffic,2023,Slovakia,Eastern Europe,55.276,SK,8.819
NO2,ug/m3,28.59,Traffic,2023,Portugal,Southern Europe,71.475,PT,18.59
NO2,ug/m3,41.986,Background,2023,France,Western Europe,104.965,FR,31.985999999999997
NO2,ug/m3,1.899,Background,2023,France,Western Europe,4.7475000000000005,FR,0.0
NO2,ug/m3,1.237,Background,2023,Portugal,Southern Europe,3.0925,PT,0.0
PM10,ug/m3,29.42,Traffic,2023,Spain,Southern Europe,73.55000000000001,ES,14.420000000000002
NO2,ug/m3,13.574,Industrial,2023,France,Western Europe,33.934999999999995,FR,3.574
NO2,ug/m3,3.785,Background,2023,Portugal,Southern Europe,9.4625,PT,0.0
PM2.5,ug/m3,21.971,Background,2023,Serbia,Southern Europe,87.884,RS,16.971
NO2,ug/m3,15.314,Background,2023,France,Western Europe,38.285,FR,5.314
PM10,ug/m3,24.455,Background,2023,Spain,Southern Europe,61.1375,ES,9.454999999999998
NO2,ug/m3,9.803,Background,2023,Portugal,Southern Europe,24.5075,PT,0.0
NO2,ug/m3,16.092,Traffic,2023,Spain,Southern Europe,40.23,ES,6.091999999999999
NO2,ug/m3,16.935,Background,2023,France,Western Europe,42.33749999999999,FR,6.934999999999999
NO2,ug/m3,18.13,Background,2023,Portugal,Southern Europe,45.325,PT,8.129999999999999
PM2.5,ug/m3,9.318,Background,2023,Portugal,Southern Europe,37.272,PT,4.318
PM10,ug/m3,13.983,Background,2023,Spain,Southern Europe,34.9575,ES,0.0
NO2,ug/m3,7.067,Background,2023,Portugal,Southern Europe,17.6675,PT,0.0
NO2,ug/m3,6.705,Background,2023,Spain,Southern Europe,16.7625,ES,0.0
PM2.5,ug/m3,11.612,Background,2023,Slovakia,Eastern Europe,46.448,SK,6.612
PM2.5,ug/m3,14.64,Background,2023,Slovakia,Eastern Europe,58.56,SK,9.64
NO2,ug/m3,12.699,Background,2023,Poland,Eastern Europe,31.7475,PL,2.699
PM10,ug/m3,27.813,Background,2023,Spain,Southern Europe,69.5325,ES,12.812999999999999
NO2,ug/m3,3.416,Industrial,2023,Spain,Southern Europe,8.540000000000001,ES,0.0
