geo_code,region,ig_label,country,year,num_deaths,population,GNI_per_capita_wb_Atlas_USD_EUR,people_affected,total_death_attributed_sex_standarized
CH,Western Europe,H,Switzerland,1999.0,12112.0,14247074.0,39418.0,12112.0,5.0
CH,Western Europe,H,Switzerland,2000.0,11796.0,14328888.0,44376.0,11796.0,5.0
CH,Western Europe,H,Switzerland,2001.0,11327.0,14408110.0,45148.0,11327.0,5.0
CH,Western Europe,H,Switzerland,2002.0,11142.0,14511306.0,46114.0,11142.0,5.0
CH,Western Europe,H,Switzerland,2003.0,10765.0,14627706.0,44494.0,10765.0,4.0
CH,Western Europe,H,Switzerland,2004.0,10760.0,14728296.0,43548.0,10760.0,4.0
CH,Western Europe,H,Switzerland,2005.0,10521.0,14830204.0,46091.0,10521.0,4.0
CH,Western Europe,H,Switzerland,2006.0,10163.0,14918256.0,55345.0,10163.0,4.0
CH,Western Europe,H,Switzerland,2007.0,10223.0,15017478.0,48687.0,10223.0,4.0
CH,Western Europe,H,Switzerland,2008.0,10330.0,15186988.0,44067.0,10330.0,4.0
CH,Western Europe,H,Switzerland,2009.0,10257.0,15403712.0,51592.0,10257.0,4.0
CH,Western Europe,H,Switzerland,2010.0,10446.0,15571612.0,54867.0,10446.0,4.0
CH,Western Europe,H,Switzerland,2011.0,10075.0,15740268.0,60867.0,10075.0,4.0
CH,Western Europe,H,Switzerland,2012.0,10275.0,15909324.0,67023.0,10275.0,4.0
CH,Western Europe,H,Switzerland,2013.0,10520.0,16078120.0,68660.0,10520.0,4.0
CH,Western Europe,H,Switzerland,2014.0,10143.0,16279262.0,63992.0,10143.0,3.0
CH,Western Europe,H,Switzerland,2015.0,10156.0,16475332.0,71502.0,10156.0,3.0
CH,Western Europe,H,Switzerland,2016.0,9777.0,16654252.0,76569.0,9777.0,3.0
CH,Western Europe,H,Switzerland,2017.0,9363.0,16839100.0,76625.0,9363.0,3.0
CH,Western Europe,H,Switzerland,2018.0,9174.0,16968260.0,68766.0,9174.0,3.0
CH,Western Europe,H,Switzerland,2019.0,9658.0,17089054.0,72629.0,9658.0,3.0
CY,Southern Europe,H,Cyprus,1990.0,590.0,26258.0,8643.0,590.0,7.0
CY,Southern Europe,H,Cyprus,1991.0,634.0,27744.0,8752.0,634.0,7.0
CY,Southern Europe,H,Cyprus,1992.0,695.0,29344.0,10150.0,695.0,8.0
CY,Southern Europe,H,Cyprus,1993.0,702.0,1238462.0,10058.0,702.0,8.0
CY,Southern Europe,H,Cyprus,1994.0,689.0,1265888.0,10661.0,689.0,8.0
CY,Southern Europe,H,Cyprus,1995.0,708.0,1290798.0,11639.0,708.0,8.0
CY,Southern Europe,H,Cyprus,1996.0,700.0,1312666.0,12554.0,700.0,8.0
CY,Southern Europe,H,Cyprus,1997.0,709.0,1332626.0,12857.0,709.0,7.0
CY,Southern Europe,H,Cyprus,1998.0,722.0,1350430.0,13882.0,722.0,7.0
CY,Southern Europe,H,Cyprus,1999.0,710.0,1365724.0,12792.0,710.0,7.0
CY,Southern Europe,H,Cyprus,2000.0,734.0,1380994.0,14116.0,734.0,7.0
CY,Southern Europe,H,Cyprus,2001.0,709.0,1395098.0,15229.0,709.0,7.0
CY,Southern Europe,H,Cyprus,2002.0,726.0,1411078.0,16465.0,726.0,7.0
CY,Southern Europe,H,Cyprus,2003.0,743.0,1427440.0,15935.0,743.0,7.0
CY,Southern Europe,H,Cyprus,2004.0,759.0,1445786.0,16042.0,759.0,7.0
CY,Southern Europe,H,Cyprus,2005.0,807.0,1466134.0,17613.0,807.0,7.0
CY,Southern Europe,H,Cyprus,2006.0,859.0,1488026.0,21701.0,859.0,7.0
CY,Southern Europe,H,Cyprus,2007.0,896.0,1515832.0,20760.0,896.0,7.0
CY,Southern Europe,H,Cyprus,2008.0,912.0,1552666.0,21718.0,912.0,7.0
CY,Southern Europe,H,Cyprus,2009.0,950.0,1593860.0,23554.0,950.0,7.0
CY,Southern Europe,H,Cyprus,2010.0,940.0,1638280.0,22304.0,940.0,7.0
CY,Southern Europe,H,Cyprus,2011.0,999.0,1679502.0,24428.0,999.0,7.0
CY,Southern Europe,H,Cyprus,2012.0,1000.0,1724022.0,23001.0,1000.0,7.0
CY,Southern Europe,H,Cyprus,2013.0,987.0,1731756.0,21139.0,987.0,6.0
CY,Southern Europe,H,Cyprus,2014.0,1003.0,1716000.0,19296.0,1003.0,6.0
CY,Southern Europe,H,Cyprus,2015.0,1019.0,1694016.0,21498.0,1019.0,6.0
CY,Southern Europe,H,Cyprus,2016.0,961.0,1696638.0,22817.0,961.0,6.0
CY,Southern Europe,H,Cyprus,2017.0,954.0,1709604.0,23765.0,954.0,5.0
CY,Southern Europe,H,Cyprus,2018.0,944.0,1728472.0,22855.0,944.0,5.0
CY,Southern Europe,H,Cyprus,2019.0,1035.0,1751798.0,24944.0,1035.0,6.0
DE,Western Europe,H,Germany,1990.0,152033.0,125358070.0,19794.0,152033.0,7.0
DE,Western Europe,H,Germany,1991.0,150559.0,159506454.0,21177.0,150559.0,7.0
DE,Western Europe,H,Germany,1992.0,142236.0,160549128.0,23771.0,142236.0,7.0
DE,Western Europe,H,Germany,1993.0,143182.0,161949264.0,23829.0,143182.0,7.0
DE,Western Europe,H,Germany,1994.0,138949.0,162676186.0,25127.0,138949.0,7.0
DE,Western Europe,H,Germany,1995.0,141341.0,163077206.0,26821.0,141341.0,7.0
DE,Western Europe,H,Germany,1996.0,146419.0,163634998.0,27911.0,146419.0,6.0
DE,Western Europe,H,Germany,1997.0,139158.0,164024324.0,27135.0,139158.0,6.0
DE,Western Europe,H,Germany,1998.0,138532.0,164114758.0,25048.0,138532.0,6.0
DE,Western Europe,H,Germany,1999.0,138743.0,164074022.0,23942.0,138743.0,6.0
DE,Western Europe,H,Germany,2000.0,141080.0,164326950.0,26061.0,141080.0,5.0
DE,Western Europe,H,Germany,2001.0,144792.0,164519080.0,26621.0,144792.0,5.0
DE,Western Europe,H,Germany,2002.0,145943.0,164880618.0,26870.0,145943.0,5.0
DE,Western Europe,H,Germany,2003.0,148508.0,165073360.0,24927.0,148508.0,5.0
DE,Western Europe,H,Germany,2004.0,151477.0,165063342.0,25076.0,151477.0,5.0
DE,Western Europe,H,Germany,2005.0,153952.0,165001698.0,26261.0,153952.0,5.0
DE,Western Europe,H,Germany,2006.0,153994.0,164875990.0,32441.0,153994.0,5.0
DE,Western Europe,H,Germany,2007.0,160181.0,164629812.0,30729.0,160181.0,5.0
DE,Western Europe,H,Germany,2008.0,168311.0,164435674.0,29652.0,168311.0,5.0
DE,Western Europe,H,Germany,2009.0,172370.0,164004712.0,31372.0,172370.0,5.0
DE,Western Europe,H,Germany,2010.0,178890.0,163604514.0,31015.0,178890.0,5.0
DE,Western Europe,H,Germany,2011.0,167532.0,160444130.0,35414.0,167532.0,5.0
DE,Western Europe,H,Germany,2012.0,168175.0,160655800.0,35985.0,168175.0,5.0
DE,Western Europe,H,Germany,2013.0,169188.0,161047492.0,35789.0,169188.0,4.0
DE,Western Europe,H,Germany,2014.0,154944.0,161534926.0,34545.0,154944.0,4.0
DE,Western Europe,H,Germany,2015.0,160971.0,162395074.0,37707.0,160971.0,4.0
DE,Western Europe,H,Germany,2016.0,160389.0,164351368.0,40673.0,160389.0,4.0
DE,Western Europe,H,Germany,2017.0,157308.0,165043306.0,41515.0,157308.0,4.0
DE,Western Europe,H,Germany,2018.0,151699.0,165584702.0,39599.0,151699.0,4.0
DE,Western Europe,H,Germany,2019.0,156956.0,166038426.0,42987.0,156956.0,4.0
DK,Scandinavia Europe,H,Denmark,1990.0,12319.0,10270818.0,22647.0,12319.0,7.0
DK,Scandinavia Europe,H,Denmark,1991.0,12658.0,10292938.0,23628.0,12658.0,6.0
DK,Scandinavia Europe,H,Denmark,1992.0,12589.0,10324252.0,26433.0,12589.0,6.0
DK,Scandinavia Europe,H,Denmark,1993.0,13260.0,10361228.0,26195.0,13260.0,6.0
DK,Scandinavia Europe,H,Denmark,1994.0,12734.0,10393284.0,27710.0,12734.0,6.0
DK,Scandinavia Europe,H,Denmark,1995.0,12733.0,10431436.0,29583.0,12733.0,6.0
DK,Scandinavia Europe,H,Denmark,1996.0,12858.0,10502054.0,31447.0,12858.0,6.0
DK,Scandinavia Europe,H,Denmark,1997.0,11635.0,10550242.0,31646.0,11635.0,6.0
DK,Scandinavia Europe,H,Denmark,1998.0,11177.0,10589720.0,29986.0,11177.0,5.0
DK,Scandinavia Europe,H,Denmark,1999.0,10785.0,10627154.0,29490.0,10785.0,5.0
DK,Scandinavia Europe,H,Denmark,2000.0,10478.0,10660040.0,32431.0,10478.0,5.0
DK,Scandinavia Europe,H,Denmark,2001.0,11042.0,10698424.0,33757.0,11042.0,5.0
DK,Scandinavia Europe,H,Denmark,2002.0,11260.0,10736708.0,35006.0,11260.0,5.0
DK,Scandinavia Europe,H,Denmark,2003.0,11530.0,10767014.0,33137.0,11530.0,5.0
DK,Scandinavia Europe,H,Denmark,2004.0,11660.0,10795280.0,33761.0,11660.0,5.0
DK,Scandinavia Europe,H,Denmark,2005.0,11598.0,10822810.0,36422.0,11598.0,5.0
DK,Scandinavia Europe,H,Denmark,2006.0,11597.0,10854918.0,45385.0,11597.0,4.0
DK,Scandinavia Europe,H,Denmark,2007.0,12135.0,10894168.0,42324.0,12135.0,4.0
DK,Scandinavia Europe,H,Denmark,2008.0,12392.0,10951582.0,41024.0,12392.0,4.0
DK,Scandinavia Europe,H,Denmark,2009.0,12869.0,11022902.0,43178.0,12869.0,4.0
DK,Scandinavia Europe,H,Denmark,2010.0,13332.0,11069476.0,42497.0,13332.0,4.0
DK,Scandinavia Europe,H,Denmark,2011.0,12357.0,11121256.0,46393.0,12357.0,4.0
DK,Scandinavia Europe,H,Denmark,2012.0,12099.0,11161032.0,47647.0,12099.0,4.0
DK,Scandinavia Europe,H,Denmark,2013.0,11474.0,11205256.0,47901.0,11474.0,4.0
DK,Scandinavia Europe,H,Denmark,2014.0,10293.0,11254470.0,46168.0,10293.0,3.0
DK,Scandinavia Europe,H,Denmark,2015.0,10561.0,11319430.0,49840.0,10561.0,3.0
DK,Scandinavia Europe,H,Denmark,2016.0,10660.0,11414502.0,53312.0,10660.0,3.0
DK,Scandinavia Europe,H,Denmark,2017.0,10944.0,11497538.0,53781.0,10944.0,3.0
DK,Scandinavia Europe,H,Denmark,2018.0,10639.0,11562380.0,51080.0,10639.0,3.0
DK,Scandinavia Europe,H,Denmark,2019.0,10624.0,11612162.0,55145.0,10624.0,3.0
ES,Southern Europe,H,Spain,1990.0,47573.0,77706454.0,11347.0,47573.0,5.0
ES,Southern Europe,H,Spain,1991.0,48519.0,77762832.0,12675.0,48519.0,5.0
ES,Southern Europe,H,Spain,1992.0,47406.0,78102672.0,14377.0,47406.0,5.0
ES,Southern Europe,H,Spain,1993.0,48231.0,78528068.0,13762.0,48231.0,5.0
ES,Southern Europe,H,Spain,1994.0,45962.0,78916978.0,13207.0,45962.0,5.0
ES,Southern Europe,H,Spain,1995.0,45954.0,79279452.0,13475.0,45954.0,5.0
ES,Southern Europe,H,Spain,1996.0,49295.0,79616748.0,14073.0,49295.0,5.0
ES,Southern Europe,H,Spain,1997.0,48123.0,79942658.0,14243.0,48123.0,5.0
ES,Southern Europe,H,Spain,1998.0,52501.0,80286898.0,13837.0,52501.0,5.0
ES,Southern Europe,H,Spain,1999.0,55158.0,80607136.0,13809.0,55158.0,5.0
ES,Southern Europe,H,Spain,2000.0,54553.0,80940364.0,15718.0,54553.0,5.0
ES,Southern Europe,H,Spain,2001.0,53900.0,81331090.0,16701.0,53900.0,5.0
ES,Southern Europe,H,Spain,2002.0,54918.0,82070556.0,17736.0,54918.0,5.0
ES,Southern Europe,H,Spain,2003.0,55688.0,83655676.0,17241.0,55688.0,5.0
ES,Southern Europe,H,Spain,2004.0,56349.0,85094902.0,17522.0,56349.0,4.0
ES,Southern Europe,H,Spain,2005.0,56579.0,86592676.0,19023.0,56579.0,4.0
ES,Southern Europe,H,Spain,2006.0,54314.0,88019942.0,23608.0,54314.0,4.0
ES,Southern Europe,H,Spain,2007.0,57599.0,89569332.0,22605.0,57599.0,4.0
ES,Southern Europe,H,Spain,2008.0,58644.0,91337878.0,21908.0,58644.0,4.0
ES,Southern Europe,H,Spain,2009.0,56062.0,92478546.0,23396.0,56062.0,4.0
ES,Southern Europe,H,Spain,2010.0,57406.0,92973238.0,22193.0,57406.0,4.0
ES,Southern Europe,H,Spain,2011.0,55457.0,93334348.0,23216.0,55457.0,4.0
ES,Southern Europe,H,Spain,2012.0,58701.0,93636438.0,22831.0,58701.0,4.0
ES,Southern Europe,H,Spain,2013.0,59067.0,93455780.0,22155.0,59067.0,4.0
ES,Southern Europe,H,Spain,2014.0,57179.0,93024398.0,21145.0,57179.0,4.0
ES,Southern Europe,H,Spain,2015.0,59331.0,92899130.0,23442.0,59331.0,3.0
ES,Southern Europe,H,Spain,2016.0,59173.0,92880198.0,25324.0,59173.0,3.0
ES,Southern Europe,H,Spain,2017.0,56508.0,93056048.0,25729.0,56508.0,3.0
ES,Southern Europe,H,Spain,2018.0,59883.0,93316894.0,24456.0,59883.0,3.0
ES,Southern Europe,H,Spain,2019.0,59553.0,93874120.0,26516.0,59553.0,3.0
FI,Scandinavia Europe,H,Finland,1990.0,8617.0,9948766.0,24161.0,8617.0,3.0
FI,Scandinavia Europe,H,Finland,1991.0,8704.0,9996956.0,23221.0,8704.0,3.0
FI,Scandinavia Europe,H,Finland,1992.0,8976.0,10058004.0,22261.0,8976.0,3.0
FI,Scandinavia Europe,H,Finland,1993.0,9436.0,10109964.0,18961.0,9436.0,3.0
FI,Scandinavia Europe,H,Finland,1994.0,8877.0,10155824.0,18410.0,8877.0,3.0
FI,Scandinavia Europe,H,Finland,1995.0,8907.0,10197508.0,20016.0,8907.0,3.0
FI,Scandinavia Europe,H,Finland,1996.0,9247.0,10233652.0,22584.0,9247.0,3.0
FI,Scandinavia Europe,H,Finland,1997.0,9093.0,10264640.0,24020.0,9093.0,3.0
FI,Scandinavia Europe,H,Finland,1998.0,9032.0,10294698.0,23139.0,9032.0,3.0
FI,Scandinavia Europe,H,Finland,1999.0,8575.0,10319292.0,23237.0,8575.0,2.0
FI,Scandinavia Europe,H,Finland,2000.0,8066.0,10342604.0,26359.0,8066.0,2.0
FI,Scandinavia Europe,H,Finland,2001.0,7492.0,10362230.0,27781.0,7492.0,2.0
FI,Scandinavia Europe,H,Finland,2002.0,6796.0,10389802.0,29071.0,6796.0,2.0
FI,Scandinavia Europe,H,Finland,2003.0,5976.0,10412590.0,27463.0,5976.0,2.0
FI,Scandinavia Europe,H,Finland,2004.0,5023.0,10439464.0,28013.0,5023.0,2.0
FI,Scandinavia Europe,H,Finland,2005.0,4104.0,10473222.0,29536.0,4104.0,2.0
FI,Scandinavia Europe,H,Finland,2006.0,3555.0,10511160.0,36315.0,3555.0,2.0
FI,Scandinavia Europe,H,Finland,2007.0,3343.0,10553910.0,35073.0,3343.0,2.0
FI,Scandinavia Europe,H,Finland,2008.0,3266.0,10600968.0,34074.0,3266.0,2.0
FI,Scandinavia Europe,H,Finland,2009.0,3190.0,10652628.0,35173.0,3190.0,2.0
FI,Scandinavia Europe,H,Finland,2010.0,3132.0,10702854.0,34535.0,3132.0,2.0
FI,Scandinavia Europe,H,Finland,2011.0,2961.0,10750552.0,37615.0,2961.0,2.0
FI,Scandinavia Europe,H,Finland,2012.0,3072.0,10802534.0,37847.0,3072.0,2.0
FI,Scandinavia Europe,H,Finland,2013.0,2898.0,10853348.0,37525.0,2898.0,2.0
